pole,eq_lon90,eq_lon135,eq_lon180
2.82652791379767e-06,1.48994418756887e-06,9.63708017960515e-07,4.85624398714271e-07
2.81366107861939e-06,1.49007045845083e-06,9.62638926743563e-07,4.89813649326984e-07
2.80079424344111e-06,1.49019672933278e-06,9.6156983552661e-07,4.94002899939698e-07
2.78792740826283e-06,1.49032300021474e-06,9.60500744309657e-07,4.98192150552412e-07
2.77506057308455e-06,1.4904492710967e-06,9.59431653092704e-07,5.02381401165125e-07
2.76219373790627e-06,1.49057554197866e-06,9.58362561875751e-07,5.06570651777839e-07
2.74932690272799e-06,1.49070181286062e-06,9.57293470658798e-07,5.10759902390552e-07
2.73646006754972e-06,1.49082808374257e-06,9.56224379441845e-07,5.14949153003266e-07
2.7246770295691e-06,1.49087893100402e-06,9.55369748730149e-07,5.18865989510497e-07
2.71289399158849e-06,1.49092977826547e-06,9.54515118018452e-07,5.22782826017728e-07
2.70111095360788e-06,1.49098062552692e-06,9.53660487306755e-07,5.26699662524959e-07
2.68932791562726e-06,1.49103147278837e-06,9.52805856595059e-07,5.3061649903219e-07
2.67754487764665e-06,1.49108232004982e-06,9.51951225883362e-07,5.34533335539421e-07
2.66576183966603e-06,1.49113316731127e-06,9.51096595171665e-07,5.38450172046652e-07
2.65397880168542e-06,1.49118401457271e-06,9.50241964459969e-07,5.42367008553883e-07
2.64219576370481e-06,1.49123486183416e-06,9.49387333748272e-07,5.46283845061114e-07
2.63041272572419e-06,1.49128570909561e-06,9.48532703036575e-07,5.50200681568345e-07
2.61862968774358e-06,1.49133655635706e-06,9.47678072324878e-07,5.54117518075576e-07
2.60779473638384e-06,1.4912397614953e-06,9.46928029882469e-07,5.57680842713961e-07
2.5969597850241e-06,1.49114296663355e-06,9.4617798744006e-07,5.61244167352346e-07
2.58612483366437e-06,1.49104617177179e-06,9.45427944997651e-07,5.64807491990731e-07
2.57528988230463e-06,1.49094937691004e-06,9.44677902555242e-07,5.68370816629116e-07
2.56445493094489e-06,1.49085258204828e-06,9.43927860112832e-07,5.71934141267501e-07
2.55361997958515e-06,1.49075578718653e-06,9.43177817670423e-07,5.75497465905886e-07
2.54278502822542e-06,1.49065899232477e-06,9.42427775228014e-07,5.79060790544271e-07
2.53195007686568e-06,1.49056219746302e-06,9.41677732785605e-07,5.82624115182656e-07
2.52111512550594e-06,1.49046540260126e-06,9.40927690343196e-07,5.86187439821041e-07
2.5102801741462e-06,1.49036860773951e-06,9.40177647900786e-07,5.89750764459426e-07
